"division","state","years","sex","measure","participants"
"Victoria","Gippsland","30-34","female","Participation rate (%)",75.5
"Victoria","Goldstein","30-34","female","Total participants",2781
"Victoria","Goldstein","30-34","female","Eligible participants",3349
"Victoria","Goldstein","30-34","female","Participation rate (%)",83
"Victoria","Gorton","30-34","female","Total participants",4941
"Victoria","Gorton","30-34","female","Eligible participants",6649
"Victoria","Gorton","30-34","female","Participation rate (%)",74.3
"Victoria","Higgins","30-34","female","Total participants",4510
"Victoria","Higgins","30-34","female","Eligible participants",5461
"Victoria","Higgins","30-34","female","Participation rate (%)",82.6
"Victoria","Holt","30-34","female","Total participants",4844
"Victoria","Holt","30-34","female","Eligible participants",6700
"Victoria","Holt","30-34","female","Participation rate (%)",72.3
"Victoria","Hotham","30-34","female","Total participants",2930
"Victoria","Hotham","30-34","female","Eligible participants",3789
"Victoria","Hotham","30-34","female","Participation rate (%)",77.3
"Victoria","Indi","30-34","female","Total participants",2788
"Victoria","Indi","30-34","female","Eligible participants",3580
"Victoria","Indi","30-34","female","Participation rate (%)",77.9
"Victoria","Isaacs","30-34","female","Total participants",3733
"Victoria","Isaacs","30-34","female","Eligible participants",4777
"Victoria","Isaacs","30-34","female","Participation rate (%)",78.1
"Victoria","Jagajaga","30-34","female","Total participants",3356
"Victoria","Jagajaga","30-34","female","Eligible participants",4025
"Victoria","Jagajaga","30-34","female","Participation rate (%)",83.4
"Victoria","Kooyong","30-34","female","Total participants",2951
"Victoria","Kooyong","30-34","female","Eligible participants",3498
"Victoria","Kooyong","30-34","female","Participation rate (%)",84.4
"Victoria","Lalor","30-34","female","Total participants",5860
"Victoria","Lalor","30-34","female","Eligible participants",8178
"Victoria","Lalor","30-34","female","Participation rate (%)",71.7
"Victoria","La Trobe","30-34","female","Total participants",3663
"Victoria","La Trobe","30-34","female","Eligible participants",4537
"Victoria","La Trobe","30-34","female","Participation rate (%)",80.7
"Victoria","Mallee","30-34","female","Total participants",2269
"Victoria","Mallee","30-34","female","Eligible participants",3206
"Victoria","Mallee","30-34","female","Participation rate (%)",70.8
"Victoria","Maribyrnong","30-34","female","Total participants",3659
"Victoria","Maribyrnong","30-34","female","Eligible participants",4733
"Victoria","Maribyrnong","30-34","female","Participation rate (%)",77.3
"Victoria","McEwen","30-34","female","Total participants",5765
"Victoria","McEwen","30-34","female","Eligible participants",7384
"Victoria","McEwen","30-34","female","Participation rate (%)",78.1
"Victoria","McMillan","30-34","female","Total participants",3811
"Victoria","McMillan","30-34","female","Eligible participants",4991
"Victoria","McMillan","30-34","female","Participation rate (%)",76.4
"Victoria","Melbourne","30-34","female","Total participants",7344
"Victoria","Melbourne","30-34","female","Eligible participants",8651
"Victoria","Melbourne","30-34","female","Participation rate (%)",84.9
"Victoria","Melbourne Ports","30-34","female","Total participants",5363
"Victoria","Melbourne Ports","30-34","female","Eligible participants",6601
"Victoria","Melbourne Ports","30-34","female","Participation rate (%)",81.2
"Victoria","Menzies","30-34","female","Total participants",2390
"Victoria","Menzies","30-34","female","Eligible participants",3020
"Victoria","Menzies","30-34","female","Participation rate (%)",79.1
"Victoria","Murray","30-34","female","Total participants",2549
"Victoria","Murray","30-34","female","Eligible participants",3493
"Victoria","Murray","30-34","female","Participation rate (%)",73
"Victoria","Scullin","30-34","female","Total participants",3901
"Victoria","Scullin","30-34","female","Eligible participants",5155
"Victoria","Scullin","30-34","female","Participation rate (%)",75.7
"Victoria","Wannon","30-34","female","Total participants",2364
"Victoria","Wannon","30-34","female","Eligible participants",3109
"Victoria","Wannon","30-34","female","Participation rate (%)",76
"Victoria","Wills","30-34","female","Total participants",5998
"Victoria","Wills","30-34","female","Eligible participants",7026
"Victoria","Wills","30-34","female","Participation rate (%)",85.4
"Queensland","Blair","30-34","female","Total participants",3732
"Queensland","Blair","30-34","female","Eligible participants",5007
"Queensland","Blair","30-34","female","Participation rate (%)",74.5
"Queensland","Bonner","30-34","female","Total participants",3366
"Queensland","Bonner","30-34","female","Eligible participants",4232
"Queensland","Bonner","30-34","female","Participation rate (%)",79.5
"Queensland","Bowman","30-34","female","Total participants",2974
"Queensland","Bowman","30-34","female","Eligible participants",3822
"Queensland","Bowman","30-34","female","Participation rate (%)",77.8
"Queensland","Brisbane","30-34","female","Total participants",4954
"Queensland","Brisbane","30-34","female","Eligible participants",6129
"Queensland","Brisbane","30-34","female","Participation rate (%)",80.8
"Queensland","Capricornia","30-34","female","Total participants",2984
"Queensland","Capricornia","30-34","female","Eligible participants",4374
"Queensland","Capricornia","30-34","female","Participation rate (%)",68.2
"Queensland","Dawson","30-34","female","Total participants",2988
"Queensland","Dawson","30-34","female","Eligible participants",4390
"Queensland","Dawson","30-34","female","Participation rate (%)",68.1
"Queensland","Dickson","30-34","female","Total participants",3323
"Queensland","Dickson","30-34","female","Eligible participants",4207
"Queensland","Dickson","30-34","female","Participation rate (%)",79
"Queensland","Fadden","30-34","female","Total participants",3133
"Queensland","Fadden","30-34","female","Eligible participants",4434
"Queensland","Fadden","30-34","female","Participation rate (%)",70.7
"Queensland","Fairfax","30-34","female","Total participants",3042
"Queensland","Fairfax","30-34","female","Eligible participants",3979
"Queensland","Fairfax","30-34","female","Participation rate (%)",76.5
"Queensland","Fisher","30-34","female","Total participants",2591
"Queensland","Fisher","30-34","female","Eligible participants",3453
"Queensland","Fisher","30-34","female","Participation rate (%)",75
"Queensland","Flynn","30-34","female","Total participants",3185
"Queensland","Flynn","30-34","female","Eligible participants",4540
"Queensland","Flynn","30-34","female","Participation rate (%)",70.2
"Queensland","Forde","30-34","female","Total participants",3508
"Queensland","Forde","30-34","female","Eligible participants",4888
"Queensland","Forde","30-34","female","Participation rate (%)",71.8
"Queensland","Griffith","30-34","female","Total participants",5074
"Queensland","Griffith","30-34","female","Eligible participants",6237
"Queensland","Griffith","30-34","female","Participation rate (%)",81.4
"Queensland","Groom","30-34","female","Total participants",3168
"Queensland","Groom","30-34","female","Eligible participants",4254
"Queensland","Groom","30-34","female","Participation rate (%)",74.5
"Queensland","Herbert","30-34","female","Total participants",3499
"Queensland","Herbert","30-34","female","Eligible participants",5067
"Queensland","Herbert","30-34","female","Participation rate (%)",69.1
"Queensland","Hinkler","30-34","female","Total participants",2031
"Queensland","Hinkler","30-34","female","Eligible participants",3025
"Queensland","Hinkler","30-34","female","Participation rate (%)",67.1
"Queensland","Kennedy","30-34","female","Total participants",2199
"Queensland","Kennedy","30-34","female","Eligible participants",3602
"Queensland","Kennedy","30-34","female","Participation rate (%)",61
"Queensland","Leichhardt","30-34","female","Total participants",3015
"Queensland","Leichhardt","30-34","female","Eligible participants",4944
"Queensland","Leichhardt","30-34","female","Participation rate (%)",61
"Queensland","Lilley","30-34","female","Total participants",4129
"Queensland","Lilley","30-34","female","Eligible participants",5127
"Queensland","Lilley","30-34","female","Participation rate (%)",80.5
"Queensland","Longman","30-34","female","Total participants",3094
"Queensland","Longman","30-34","female","Eligible participants",4309
"Queensland","Longman","30-34","female","Participation rate (%)",71.8
"Queensland","Maranoa","30-34","female","Total participants",2646
"Queensland","Maranoa","30-34","female","Eligible participants",3708
"Queensland","Maranoa","30-34","female","Participation rate (%)",71.4
"Queensland","McPherson","30-34","female","Total participants",3207
"Queensland","McPherson","30-34","female","Eligible participants",4317
"Queensland","McPherson","30-34","female","Participation rate (%)",74.3
"Queensland","Moncrieff","30-34","female","Total participants",2847
"Queensland","Moncrieff","30-34","female","Eligible participants",3973
"Queensland","Moncrieff","30-34","female","Participation rate (%)",71.7
"Queensland","Moreton","30-34","female","Total participants",3507
"Queensland","Moreton","30-34","female","Eligible participants",4577
"Queensland","Moreton","30-34","female","Participation rate (%)",76.6
"Queensland","Oxley","30-34","female","Total participants",3492
"Queensland","Oxley","30-34","female","Eligible participants",4811
"Queensland","Oxley","30-34","female","Participation rate (%)",72.6
"Queensland","Petrie","30-34","female","Total participants",3549
"Queensland","Petrie","30-34","female","Eligible participants",4800
"Queensland","Petrie","30-34","female","Participation rate (%)",73.9
"Queensland","Rankin","30-34","female","Total participants",3634
"Queensland","Rankin","30-34","female","Eligible participants",5190
